Fecha,Abrir,Alto,Bajo,Cierre*,Cierre ajustado**,Volumen
12/10/2022,6.83,6.93,6.71,6.84,6.84,25678030
11/10/2022,6.91,6.96,6.72,6.83,6.83,25100225
10/10/2022,7.11,7.14,6.89,6.89,6.89,13802404
07/10/2022,7.27,7.3,7.09,7.12,7.12,18452629
06/10/2022,7.29,7.41,7.2,7.29,7.29,20786636
05/10/2022,7.35,7.42,7.23,7.3,7.3,18452720
04/10/2022,7.05,7.48,7.05,7.47,7.47,29699094
03/10/2022,6.97,7.09,6.83,7,7,14200538
30/09/2022,6.85,6.99,6.82,6.96,6.96,37407678
29/09/2022,6.79,6.92,6.61,6.9,6.9,27253368
28/09/2022,6.74,6.91,6.69,6.83,6.83,31225819
27/09/2022,6.83,6.94,6.63,6.72,6.72,25459099
26/09/2022,6.96,7.03,6.75,6.75,6.75,16271355
23/09/2022,6.99,7,6.8,6.97,6.97,33889932
22/09/2022,7.16,7.21,6.95,7.05,7.05,26089745
21/09/2022,7.14,7.37,7.13,7.19,7.19,38660250
20/09/2022,7.39,7.39,7.08,7.13,7.13,33450883
19/09/2022,7.29,7.4,7.17,7.36,7.36,30537348
15/09/2022,7.59,7.74,7.21,7.26,7.26,88414424
14/09/2022,7.77,7.77,7.53,7.56,7.56,28073140
13/09/2022,7.88,7.93,7.68,7.72,7.72,11104198
12/09/2022,7.91,8.05,7.9,8,8,11344674
09/09/2022,7.71,7.92,7.71,7.88,7.88,10737320
08/09/2022,7.73,7.73,7.51,7.67,7.67,20138037
07/09/2022,7.6,7.76,7.52,7.73,7.73,21750224
06/09/2022,7.75,7.87,7.58,7.63,7.63,12875081
05/09/2022,7.84,7.91,7.69,7.71,7.71,985599
02/09/2022,7.72,7.93,7.65,7.8,7.8,19398350
01/09/2022,7.45,7.74,7.29,7.66,7.66,34898851
31/08/2022,7.73,7.84,7.43,7.47,7.47,69556647
30/08/2022,7.87,7.95,7.66,7.71,7.71,19698554
29/08/2022,8.09,8.09,7.8,7.82,7.82,26308079
26/08/2022,8.16,8.17,8,8.03,8.03,5199616
25/08/2022,8.3,8.41,8.23,8.37,8.37,9991012
24/08/2022,8.37,8.42,8.2,8.23,8.23,9934090
23/08/2022,8.42,8.47,8.23,8.38,8.38,24415188
22/08/2022,8.61,8.61,8.35,8.37,8.37,20708599
19/08/2022,8.81,8.82,8.64,8.66,8.66,15784914
18/08/2022,8.99,8.99,8.79,8.88,8.88,18456511
17/08/2022,9.09,9.09,8.95,9,9,35246704
16/08/2022,9.07,9.14,8.85,9.1,9.1,28146728
15/08/2022,9.2,9.25,9.05,9.05,9.05,18411391
12/08/2022,9.15,9.24,9.05,9.21,9.21,19957550
11/08/2022,9.04,9.24,8.96,9.03,9.03,22479726
